nCCy
16
No    dir     Y
0    0    0.00
0    1    0.00
7    0    0.00
7    1    3.00
14   0    0.00
14   1    6.00
21   0    0.00
21   1    9.00
1    0    3.00
1    1    0.00
2    0    6.00
2    1    0.00
22   0    3.00
22   1    9.00
23   0    6.00
23   1    9.00

nCCy
8
No    dir     Y
0    0    0.00
0    1    0.00
7    0    0.00
7    1    3.00
14   0    0.00
14   1    6.00
21   0    0.00
21   1    9.00


nCCy
16
No    dir     Y
0    0    0.00
0    1    0.00
7    0    0.00
7    1    3.00
14   0    0.00
14   1    6.00
21   0    0.00
21   1    9.00
3    0   10.00
3    1    0.00
10   0   10.00
10   1    3.00
17   0   10.00
17   1    6.00
24   0   10.00
24   1    9.00
