nNo
16
X0    X1   No  
0 0 0
1 0 1
1 1 2
0 1 3
0.3333333333324915 0 4
0.6666666666657831 0 5
1 0.3333333333324915 6
1 0.6666666666657831 7
0.6666666666668164 1 8
0.3333333333341704 1 9
0 0.6666666666668164 10
0 0.3333333333341704 11
0.6666666666666667 0.3333333333333333 12
0.3333333333333334 0.6666666666666666 13
0.3333333333327582 0.3333333333336622 14
0.6666666666669957 0.6666666666660914 15




0 0 0
0.5 0 1
0.5 0.5 2
0 0.5 3
0.16667 0.0 4
0.33333 0.0 5
0.5 0.16667 6
0.5 0.33333 7
0.33333 0.5 8
0.16667 0.5 9
0.0 0.33333 10
0.0 0.16667 11
0.16667 0.16667 12
0.33333 0.33333 13
0.33333 0.16667 14
0.16667 0.33333 15


