nFC
31
No	dir      P
2    1    -3100.00
33   1    -3100.00
34   1    -3100.00
35   1    -3100.00
36   1    -3100.00
37   1    -3100.00
38   1    -3100.00
39   1    -3100.00
40   1    -3100.00
41   1    -3100.00
42   1    -3100.00
43   1    -3100.00
44   1    -3100.00
45   1    -3100.00
46   1    -3100.00
47   1    -3100.00
48   1    -3100.00
48   1    -3100.00
50   1    -3100.00
51   1    -3100.00
52   1    -3100.00
53   1    -3100.00
54   1    -3100.00
55   1    -3100.00
56   1    -3100.00
57   1    -3100.00
58   1    -3100.00
59   1    -3100.00
60   1    -3100.00
61   1    -3100.00
3    1    -3100.00

2    1    -10000.00



1    0    57500000.00
93   0    115000000.00
94   0    115000000.00
95   0    115000000.00
96   0    115000000.00
97   0    115000000.00
2    0    57500000.00


1    0    1666.67
63   0    3333.33
64   0    3333.33
2    0    1666.67




