nFC
0
No	dir     P
2   0   0.08333
7   0   0.16667
6   0   0.16667
1   0   0.08333


1    0     2272.72
45   0     2272.72
46   0     4545.45
47   0     9090.91
48   0     9090.91
49   0     4545.45
50   0     2272.72
51   0     2272.72
52   0     2272.72
53   0     4545.45
54   0     4545.45
55   0     4545.45
56   0     4545.45
57   0     9090.91
58   0     9090.91
59   0     4545.45
60   0     4545.45
61   0     4545.45
62   0     4545.45
63   0     2272.72
64   0     2272.72
2    0     2272.72







1    0     3125.0
33   0     3125.0
34   0     12500.0
35   0     12500.0
36   0     3125.0
37   0     3125.0
38   0     3125.0
39   0     6250.0
40   0     6250.0
41   0     12500.0
42   0     12500.0
43   0     6250.0
44   0     6250.0
45   0     3125.0
46   0     3125.0
2    0     3125.0







1    0    57500000.00
93   0    115000000.00
94   0    115000000.00
95   0    115000000.00
96   0    115000000.00
97   0    115000000.00
2    0    57500000.00


1    0    1666.67
63   0    3333.33
64   0    3333.33
2    0    1666.67




