nFC
1
No	dir     P
2     1    -35000000.00 

2     1    -371000000.00 

2     1    -37100000.00 


1    0     4166.67
135  0     8333.33
136  0     8333.33
137  0     8333.33
138  0     8333.33
139  0     8333.33
140  0     8333.33
141  0     8333.33
142  0     8333.33
143  0     8333.33
144  0     8333.33
145  0     8333.33
2    0     4166.67

1    0    57500000.00
93   0    115000000.00
94   0    115000000.00
95   0    115000000.00
96   0    115000000.00
97   0    115000000.00
2    0    57500000.00


1    0    1666.67
63   0    3333.33
64   0    3333.33
2    0    1666.67




